lexeme,variants,msg,mpl,fsg,fpl
tapageur,tapageur,tapageur,tapageurs,tapageuse,tapageuses
tapant,tapant,tapant,tapants,tapante,tapantes
tape-à-l'oeil,tape-à-l'oeil,tape-à-l'oeil,tape-à-l'oeil,tape-à-l'oeil,tape-à-l'oeil
tapé,tapé,tapé,tapés,tapée,tapées
tapi,tapi,tapi,tapis,tapie,tapies
taquin,taquin,taquin,taquins,taquine,taquines
tarabiscoté,tarabiscoté,tarabiscoté,tarabiscotés,tarabiscotée,tarabiscotées
taraudant,taraudant,taraudant,taraudants,taraudante,taraudantes
tarbais,tarbais,tarbais,tarbais,tarbais,tarbais
tard-venu,tard-venu,tard-venu,tard-venu,tard-venu,tard-venu
tardif,tardif,tardif,tardifs,tardive,tardives
taré,taré,taré,tarés,tarée,tarées
targui,targui,targui,touareg,targuie,touarègue
tari,tari,tari,taris,tarie,taries
tarsien,tarsien,tarsien,tarsiens,tarsienne,tarsiennes
tartare,tartare,tartare,tartares,tartare,tartares
tarte,tarte,tarte,tartes,tarte,tartes
tartignolle,tartignolle,tartignolle,tartignolles,tartignolle,tartignolles
tasmanien,tasmanien,tasmanien,tasmaniens,tasmanienne,tasmaniennes
tassé,tassé,tassé,tassés,tassée,tassées
tatar,tatar,tatar,tatars,tatare,tatares
tatillon,tatillon,tatillon,tatillons,tatillonne,tatillonnes
tâtonnant,tâtonnant,tâtonnant,tâtonnants,tâtonnante,tâtonnantes
tatoué,tatoué,tatoué,tatoué,tatoué,tatoué
taupe,taupe,taupe,taupe,taupe,taupe
taupé,taupé,taupé,taupés,taupée,taupées
taurin,taurin,taurin,taurins,taurine,taurines
tauromachique,tauromachique,tauromachique,tauromachiques,tauromachique,tauromachiques
tavelé,tavelé,tavelé,tavelés,tavelée,tavelées
taxable,taxable,taxable,taxables,taxable,taxables
taxé,taxé,taxé,taxé,taxé,taxé
taxinomique,taxinomique,taxinomique,taxinomiques,taxinomique,taxinomiques
taxonomique,taxonomique,taxonomique,taxonomiques,taxonomique,taxonomiques
tchécoslovaque,tchécoslovaque,tchécoslovaque,tchécoslovaques,tchécoslovaque,tchécoslovaques
tchékhovien,tchékhovien,tchékhovien,tchékhovien,tchékhovien,tchékhovien
tchèque,tchèque,tchèque,tchèques,tchèque,tchèques
technicien,technicien,technicien,technicien,technicien,technicien
technique,technique,technique,techniques,technique,techniques
techno,techno,techno,techno,techno,techno
technocratique,technocratique,technocratique,technocratiques,technocratique,technocratiques
technologique,technologique,technologique,technologiques,technologique,technologiques
tectonique,tectonique,tectonique,tectoniques,tectonique,tectoniques
tégumentaire,tégumentaire,tégumentaire,tégumentaires,tégumentaire,tégumentaires
teigneux,teigneux,teigneux,teigneux,teigneuse,teigneuses
teint,teint,teint,teints,teinte,teintes
téléchargeable,téléchargeable,téléchargeable,téléchargeables,téléchargeable,téléchargeables
télégénique,télégénique,télégénique,télégéniques,télégénique,télégéniques
télégraphique,télégraphique,télégraphique,télégraphiques,télégraphique,télégraphiques
télématique,télématique,télématique,télématiques,télématique,télématiques
télémétrique,télémétrique,télémétrique,télémétriques,télémétrique,télémétriques
téléologique,téléologique,téléologique,téléologiques,téléologique,téléologiques
télépathique,télépathique,télépathique,télépathiques,télépathique,télépathiques
téléphoné,téléphoné,téléphoné,téléphonés,téléphonée,téléphonées
téléphonique,téléphonique,téléphonique,téléphoniques,téléphonique,téléphoniques
télescopique,télescopique,télescopique,télescopiques,télescopique,télescopiques
télévisé,télévisé,télévisé,télévisés,télévisée,télévisées
télévisuel,télévisuel,télévisuel,télévisuels,télévisuelle,télévisuelles
tellurique,tellurique,tellurique,telluriques,tellurique,telluriques
téméraire,téméraire,téméraire,téméraires,téméraire,téméraires
tempéré,tempéré,tempéré,tempérés,tempérée,tempérées
tempétueux,tempétueux,tempétueux,tempétueux,tempétueuse,tempétueuses
templier,templier,templier,templiers,templière,templières
temporaire,temporaire,temporaire,temporaires,temporaire,temporaires
temporal,temporal,temporal,temporaux,temporale,temporales
temporel,temporel,temporel,temporels,temporelle,temporelles
temporisateur,temporisateur,temporisateur,temporisateurs,temporisatrice,temporisatrices
tenable,tenable,tenable,tenables,tenable,tenables
tenace,tenace,tenace,tenaces,tenace,tenaces
tenant,tenant,tenant,tenants,tenante,tenantes
tendancieux,tendancieux,tendancieux,tendancieux,tendancieuse,tendancieuses
tendineux,tendineux,tendineux,tendineux,tendineuse,tendineuses
tendre,tendre,tendre,tendres,tendre,tendres
tendu,tendu,tendu,tendus,tendue,tendues
ténébreux,ténébreux,ténébreux,ténébreux,ténébreuse,ténébreuses
tentaculaire,tentaculaire,tentaculaire,tentaculaires,tentaculaire,tentaculaires
tentant,tentant,tentant,tentants,tentante,tentantes
tentateur,tentateur,tentateur,tentateurs,tentatrice,tentatrices
tenté,tenté,tenté,tenté,tenté,tenté
ténu,ténu,ténu,ténus,ténue,ténues
tenu,tenu,tenu,tenus,tenue,tenues
tératologique,tératologique,tératologique,tératologiques,tératologique,tératologiques
térébrant,térébrant,térébrant,térébrants,térébrante,térébrantes
terminal,terminal,terminal,terminaux,terminale,terminales
terminateur,terminateur,terminateur,terminateur,terminateur,terminateur
terminologique,terminologique,terminologique,terminologiques,terminologique,terminologiques
ternaire,ternaire,ternaire,ternaires,ternaire,ternaires
terne,terne,terne,ternes,terne,ternes
terni,terni,terni,terni,terni,terni
terre-à-terre,terre-à-terre,terre-à-terre,terre-à-terre,terre-à-terre,terre-à-terre
terre-neuvien,terre-neuvien,terre-neuvien,terre-neuvien,terre-neuvien,terre-neuvien
terrestre,terrestre,terrestre,terrestres,terrestre,terrestres
terreux,terreux,terreux,terreux,terreuse,terreuses
terrible,terrible,terrible,terribles,terrible,terribles
terrien,terrien,terrien,terriens,terrienne,terriennes
terrifiant,terrifiant,terrifiant,terrifiants,terrifiante,terrifiantes
terrifié,terrifié,terrifié,terrifié,terrifié,terrifié
terrifique,terrifique,terrifique,terrifique,terrifique,terrifique
territorial,territorial,territorial,territoriaux,territoriale,territoriales
terrorisant,terrorisant,terrorisant,terrorisants,terrorisante,terrorisantes
terrorisé,terrorisé,terrorisé,terrorisé,terrorisé,terrorisé
terroriste,terroriste,terroriste,terroristes,terroriste,terroristes
tertiaire,tertiaire,tertiaire,tertiaires,tertiaire,tertiaires
testamentaire,testamentaire,testamentaire,testamentaires,testamentaire,testamentaires
testiculaire,testiculaire,testiculaire,testiculaires,testiculaire,testiculaires
tétanique,tétanique,tétanique,tétaniques,tétanique,tétaniques
tétanisé,tétanisé,tétanisé,tétanisé,tétanisé,tétanisé
tétramère,tétramère,tétramère,tétramères,tétramère,tétramères
tétraplégique,tétraplégique,tétraplégique,tétraplégiques,tétraplégique,tétraplégiques
têtu,têtu,têtu,têtus,têtue,têtues
teuton,teuton,teuton,teutons,teutonne,teutonnes
teutonique,teutonique,teutonique,teutoniques,teutonique,teutoniques
texan,texan,texan,texans,texane,texanes
textile,textile,textile,textiles,textile,textiles
textuel,textuel,textuel,textuels,textuelle,textuelles
thaï,thaï,thaï,thaïs,thaïe,thaïes
thaïlandais,thaïlandais,thaïlandais,thaïlandais,thaïlandaise,thaïlandaises
thalamique,thalamique,thalamique,thalamiques,thalamique,thalamiques
thanatologique,thanatologique,thanatologique,thanatologiques,thanatologique,thanatologiques
thatchérien,thatchérien,thatchérien,thatchérien,thatchérien,thatchérien
théâtral,théâtral,théâtral,théâtraux,théâtrale,théâtrales
théiste,théiste,théiste,théistes,théiste,théistes
thématique,thématique,thématique,thématiques,thématique,thématiques
théocratique,théocratique,théocratique,théocratiques,théocratique,théocratiques
théologal,théologal,théologal,théologaux,théologale,théologales
théologique,théologique,théologique,théologiques,théologique,théologiques
théorique,théorique,théorique,théoriques,théorique,théoriques
théosophique,théosophique,théosophique,théosophiques,théosophique,théosophiques
thérapeutique,thérapeutique,thérapeutique,thérapeutiques,thérapeutique,thérapeutiques
thermal,thermal,thermal,thermaux,thermale,thermales
thermidorien,thermidorien,thermidorien,thermidoriens,thermidorienne,thermidoriennes
thermique,thermique,thermique,thermiques,thermique,thermiques
thermocollant,thermocollant,thermocollant,thermocollants,thermocollante,thermocollantes
thermodynamique,thermodynamique,thermodynamique,thermodynamiques,thermodynamique,thermodynamiques
thermoélectrique,thermoélectrique,thermoélectrique,thermoélectrique,thermoélectrique,thermoélectrique
thermogène,thermogène,thermogène,thermogènes,thermogène,thermogènes
thermonucléaire,thermonucléaire,thermonucléaire,thermonucléaires,thermonucléaire,thermonucléaires
thermorégulateur,thermorégulateur,thermorégulateur,thermorégulateurs,thermorégulatrice,thermorégulatrices
thermosensible,thermosensible,thermosensible,thermosensibles,thermosensible,thermosensibles
thésard,thésard,thésard,thésard,thésard,thésard
thessalien,thessalien,thessalien,thessaliens,thessalienne,thessaliennes
théurgique,théurgique,théurgique,théurgiques,théurgique,théurgiques
thomiste,thomiste,thomiste,thomistes,thomiste,thomistes
thoracique,thoracique,thoracique,thoraciques,thoracique,thoraciques
thrace,thrace,thrace,thraces,thrace,thraces
thrombolytique,thrombolytique,thrombolytique,thrombolytiques,thrombolytique,thrombolytiques
thrombosé,thrombosé,thrombosé,thrombosés,thrombosée,thrombosées
thrombotique,thrombotique,thrombotique,thrombotiques,thrombotique,thrombotiques
thyroïde,thyroïde,thyroïde,thyroïdes,thyroïde,thyroïdes
thyroïdien,thyroïdien,thyroïdien,thyroïdiens,thyroïdienne,thyroïdiennes
tibétain,tibétain,tibétain,tibétains,tibétaine,tibétaines
tibial,tibial,tibial,tibiaux,tibiale,tibiales
tiédasse,tiédasse,tiédasse,tiédasses,tiédasse,tiédasses
tiède,tiède,tiède,tièdes,tiède,tièdes
tiercé,tiercé,tiercé,tiercés,tiercée,tiercées
tiers-mondiste,tiers-mondiste,tiers-mondiste,tiers-mondiste,tiers-mondiste,tiers-mondiste
tiers,tiers,tiers,tiers,tierce,tierces
tigré,tigré,tigré,tigrés,tigrée,tigrées
timbré,timbré,timbré,timbrés,timbrée,timbrées
timide,timide,timide,timides,timide,timides
timoré,timoré,timoré,timorés,timorée,timorées
tintamarresque,tintamarresque,tintamarresque,tintamarresque,tintamarresque,tintamarresque
tintinnabulant,tintinnabulant,tintinnabulant,tintinnabulants,tintinnabulante,tintinnabulantes
tiqueté,tiqueté,tiqueté,tiquetés,tiquetée,tiquetées
tiraillé,tiraillé,tiraillé,tiraillé,tiraillé,tiraillé
tiré,tiré,tiré,tirés,tirée,tirées
tisonné,tisonné,tisonné,tisonnés,tisonnée,tisonnées
tissé,tissé,tissé,tissé,tissé,tissé
tissu,tissu,tissu,tissus,tissue,tissues
tissulaire,tissulaire,tissulaire,tissulaires,tissulaire,tissulaires
titanesque,titanesque,titanesque,titanesques,titanesque,titanesques
titanique,titanique,titanique,titaniques,titanique,titaniques
titré,titré,titré,titrés,titrée,titrées
titubant,titubant,titubant,titubants,titubante,titubantes
titulaire,titulaire,titulaire,titulaires,titulaire,titulaires
toc,toc,toc,toc,toc,toc
tocard,tocard:toquard,tocard,tocards,tocarde,tocardes
togolais,togolais,togolais,togolais,togolaise,togolaises
tolérable,tolérable,tolérable,tolérables,tolérable,tolérables
tolérant,tolérant,tolérant,tolérants,tolérante,tolérantes
tolstoïen,tolstoïen,tolstoïen,tolstoïen,tolstoïen,tolstoïen
toltèque,toltèque,toltèque,toltèque,toltèque,toltèque
tombal,tombal,tombal,tombals,tombale,tombales
tombant,tombant,tombant,tombants,tombante,tombantes
tombé,tombé,tombé,tombés,tombée,tombées
tonal,tonal,tonal,tonals,tonale,tonales
tondu,tondu,tondu,tondus,tondue,tondues
tonifiant,tonifiant,tonifiant,tonifiants,tonifiante,tonifiantes
tonique,tonique,tonique,toniques,tonique,toniques
tonitruant,tonitruant,tonitruant,tonitruants,tonitruante,tonitruantes
tonkinois,tonkinois,tonkinois,tonkinois,tonkinoise,tonkinoises
tonnant,tonnant,tonnant,tonnants,tonnante,tonnantes
too much,too much,too much,too much,too much,too much
topique,topique,topique,topiques,topique,topiques
topless,topless,topless,topless,topless,topless
topographique,topographique,topographique,topographiques,topographique,topographiques
topologique,topologique,topologique,topologiques,topologique,topologiques
toqué,toqué,toqué,toqués,toquée,toquées
tordant,tordant,tordant,tordants,tordante,tordantes
tordu,tordu,tordu,tordus,tordue,tordues
torpide,torpide,torpide,torpides,torpide,torpides
torpillé,torpillé,torpillé,torpillé,torpillé,torpillé
torréfié,torréfié,torréfié,torréfié,torréfié,torréfié
torrentiel,torrentiel,torrentiel,torrentiels,torrentielle,torrentielles
torrentueux,torrentueux,torrentueux,torrentueux,torrentueuse,torrentueuses
torride,torride,torride,torrides,torride,torrides
tors,tors,tors,tors,torse,torses
tortu,tortu,tortu,tortus,tortue,tortues
tortueux,tortueux,tortueux,tortueux,tortueuse,tortueuses
torturant,torturant,torturant,torturants,torturante,torturantes
torturé,torturé,torturé,torturé,torturé,torturé
torve,torve,torve,torves,torve,torves
toscan,toscan,toscan,toscans,toscane,toscanes
total,total,total,totaux,totale,totales
totalisant,totalisant,totalisant,totalisants,totalisante,totalisantes
totalitaire,totalitaire,totalitaire,totalitaires,totalitaire,totalitaires
totémique,totémique,totémique,totémiques,totémique,totémiques
touareg,touareg,targui,touareg,targuie,touarègue
touchant,touchant,touchant,touchants,touchante,touchantes
touché,touché,touché,touché,touché,touché
touffu,touffu,touffu,touffus,touffue,touffues
touillé,touillé,touillé,touillé,touillé,touillé
toulonnais,toulonnais,toulonnais,toulonnais,toulonnaise,toulonnaises
toulousain,toulousain,toulousain,toulousains,toulousaine,toulousaines
toungouse,toungouse,toungouse,toungouses,toungouse,toungouses
tourangeau,tourangeau,tourangeau,tourangeaux,tourangelle,tourangelles
tourbeux,tourbeux,tourbeux,tourbeux,tourbeuse,tourbeuses
tourbillonnaire,tourbillonnaire,tourbillonnaire,tourbillonnaires,tourbillonnaire,tourbillonnaires
tourbillonnant,tourbillonnant,tourbillonnant,tourbillonnants,tourbillonnante,tourbillonnantes
tourier,tourier,tourier,touriers,tourière,tourières
touristique,touristique,touristique,touristiques,touristique,touristiques
tourmentant,tourmentant,tourmentant,tourmentants,tourmentante,tourmentantes
tourmenté,tourmenté,tourmenté,tourmentés,tourmentée,tourmentées
tournant,tournant,tournant,tournants,tournante,tournantes
tourné,tourné,tourné,tournés,tournée,tournées
tournois,tournois,tournois,tournois,tournois,tournois
tournoyant,tournoyant,tournoyant,tournoyants,tournoyante,tournoyantes
tousseur,tousseur,tousseur,tousseur,tousseur,tousseur
tousseux,tousseux,tousseux,tousseux,tousseux,tousseux
toussoteux,toussoteux,toussoteux,toussoteux,toussoteux,toussoteux
tout-fou,tout-fou,tout-fou,tout-fou,tout-fou,tout-fou
tout-puissant,tout-puissant,tout-puissant,tout-puissant,tout-puissant,tout-puissant
tout-terrain,tout-terrain,tout-terrain,tout-terrain,tout-terrain,tout-terrain
tout,tout,tout,tout,tout,tout
toxico,toxico,toxico,toxicos,toxico,toxicos
toxicologique,toxicologique,toxicologique,toxicologiques,toxicologique,toxicologiques
toxique,toxique,toxique,toxiques,toxique,toxiques
traçant,traçant,traçant,traçants,traçante,traçantes
tracassier,tracassier,tracassier,tracassiers,tracassière,tracassières
traceur,traceur,traceur,traceurs,traceuse,traceuses
trachéal,trachéal,trachéal,trachéaux,trachéale,trachéales
tracté,tracté,tracté,tractés,tractée,tractées
tracteur,tracteur,tracteur,tracteurs,tractrice,tractrices
traditionaliste,traditionaliste,traditionaliste,traditionalistes,traditionaliste,traditionalistes
traditionnel,traditionnel,traditionnel,traditionnels,traditionnelle,traditionnelles
traduisible,traduisible,traduisible,traduisibles,traduisible,traduisibles
tragi-comique,tragi-comique,tragi-comique,unk,tragi-comique,unk
tragique,tragique,tragique,tragiques,tragique,tragiques
trahi,trahi,trahi,trahi,trahi,trahi
trahissant,trahissant,trahissant,trahissant,trahissant,trahissant
traînant,traînant,traînant,traînants,traînante,traînantes
traînard,traînard,traînard,traînards,traînarde,traînardes
trait,trait,trait,traits,traite,traites
traitable,traitable,traitable,traitables,traitable,traitables
traitant,traitant,traitant,traitants,traitante,traitantes
traité,traité,traité,traité,traité,traité
traître,traître,traître,traîtres,traîtresse,traîtresses
tranchant,tranchant,tranchant,tranchants,tranchante,tranchantes
tranché,tranché,tranché,tranchés,tranchée,tranchées
tranquille,tranquille,tranquille,tranquilles,tranquille,tranquilles
tranquillisant,tranquillisant,tranquillisant,tranquillisants,tranquillisante,tranquillisantes
trans,trans,trans,trans,trans,trans
transactionnel,transactionnel,transactionnel,transactionnels,transactionnelle,transactionnelles
transafricain,transafricain,transafricain,transafricains,transafricaine,transafricaines
transalpin,transalpin,transalpin,transalpins,transalpine,transalpines
transamazonien,transamazonien,transamazonien,transamazoniens,transamazonienne,transamazoniennes
transatlantique,transatlantique,transatlantique,transatlantiques,transatlantique,transatlantiques
transcanadien,transcanadien,transcanadien,transcanadiens,transcanadienne,transcanadiennes
transcaspien,transcaspien,transcaspien,transcaspiens,transcaspienne,transcaspiennes
transcendant,transcendant,transcendant,transcendants,transcendante,transcendantes
transcendantal,transcendantal,transcendantal,transcendantaux,transcendantale,transcendantales
transcontinental,transcontinental,transcontinental,transcontinentaux,transcontinentale,transcontinentales
transcutané,transcutané,transcutané,transcutanés,transcutanée,transcutanées
transdermique,transdermique,transdermique,transdermiques,transdermique,transdermiques
transférable,transférable,transférable,transférables,transférable,transférables
transformable,transformable,transformable,transformables,transformable,transformables
transformant,transformant,transformant,transformants,transformante,transformantes
transformateur,transformateur,transformateur,transformateurs,transformatrice,transformatrices
transformé,transformé,transformé,transformé,transformé,transformé
transformiste,transformiste,transformiste,transformistes,transformiste,transformistes
transfusé,transfusé,transfusé,transfusé,transfusé,transfusé
transgénique,transgénique,transgénique,transgéniques,transgénique,transgéniques
transhistorique,transhistorique,transhistorique,transhistorique,transhistorique,transhistorique
transhumant,transhumant,transhumant,transhumants,transhumante,transhumantes
transi,transi,transi,transis,transie,transies
transistorisé,transistorisé,transistorisé,transistorisé,transistorisé,transistorisé
transitaire,transitaire,transitaire,transitaires,transitaire,transitaires
transitif,transitif,transitif,transitifs,transitive,transitives
transitionnel,transitionnel,transitionnel,transitionnels,transitionnelle,transitionnelles
transitoire,transitoire,transitoire,transitoires,transitoire,transitoires
translucide,translucide,translucide,translucides,translucide,translucides
transmis,transmis,transmis,transmis,transmis,transmis
transmissible,transmissible,transmissible,transmissibles,transmissible,transmissibles
transnational,transnational,transnational,transnationaux,transnationale,transnationales
transocéanique,transocéanique,transocéanique,transocéaniques,transocéanique,transocéaniques
transparent,transparent,transparent,transparents,transparente,transparentes
transpirant,transpirant,transpirant,transpirants,transpirante,transpirantes
transplantable,transplantable,transplantable,transplantables,transplantable,transplantables
transplanté,transplanté,transplanté,transplanté,transplanté,transplanté
transportable,transportable,transportable,transportables,transportable,transportables
transporteur,transporteur,transporteur,transporteurs,transporteuse,transporteuses
transposable,transposable,transposable,transposables,transposable,transposables
transposé,transposé,transposé,transposés,transposée,transposées
transsaharien,transsaharien,transsaharien,transsahariens,transsaharienne,transsahariennes
transsexuel,transsexuel,transsexuel,transsexuels,transsexuelle,transsexuelles
transsibérien,transsibérien,transsibérien,transsibériens,transsibérienne,transsibériennes
transuranien,transuranien,transuranien,transuraniens,transuranienne,transuraniennes
transversal,transversal,transversal,transversaux,transversale,transversales
transverse,transverse,transverse,transverses,transverse,transverses
transylvain,transylvain,transylvain,transylvains,transylvaine,transylvaines
transylvanien,transylvanien,transylvanien,transylvaniens,transylvanienne,transylvaniennes
trapézoïdal,trapézoïdal,trapézoïdal,trapézoïdaux,trapézoïdale,trapézoïdales
trapézoïde,trapézoïde,trapézoïde,trapézoïdes,trapézoïde,trapézoïdes
trapu,trapu,trapu,trapus,trapue,trapues
traumatique,traumatique,traumatique,traumatiques,traumatique,traumatiques
traumatisant,traumatisant,traumatisant,traumatisants,traumatisante,traumatisantes
traumatologique,traumatologique,traumatologique,traumatologiques,traumatologique,traumatologiques
travaillé,travaillé,travaillé,travaillés,travaillée,travaillées
travailleur,travailleur,travailleur,travailleurs,travailleuse,travailleuses
travailliste,travailliste,travailliste,travaillistes,travailliste,travaillistes
traversable,traversable,traversable,traversables,traversable,traversables
traversant,traversant,traversant,traversants,traversante,traversantes
traversé,traversé,traversé,traversé,traversé,traversé
traversier,traversier,traversier,traversiers,traversière,traversières
travesti,travesti,travesti,travestis,travestie,travesties
trébuchant,trébuchant,trébuchant,trébuchants,trébuchante,trébuchantes
